iter	F1:use_weights=false	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
320	0.7049729891	0.3683998357	0.8327189974	0.8513901586
321	0.7052341598	0.3682845529	0.832879259	0.8515407368
322	0.7050559399	0.3682341741	0.8327790955	0.8514224254
323	0.7052144031	0.3681390366	0.8329113113	0.8514546921
324	0.7054328103	0.3679922324	0.833043527	0.8515837591
325	0.7056010929	0.3678413723	0.8331597167	0.8516590481
326	0.7057618001	0.3676697635	0.8332558736	0.8517558483
327	0.7058999381	0.3675640393	0.8333239847	0.8518634041
328	0.7060631939	0.3675015599	0.8334481874	0.851917182
329	0.7059275545	0.36735904	0.8333760697	0.8518203818
330	0.705854731	0.3673152061	0.8333319978	0.8517773595
331	0.7061410062	0.3672407295	0.8335162986	0.8519279376
332	0.7062516013	0.3671438851	0.8335643771	0.8520247378
333	0.7066031895	0.3669733658	0.8338047694	0.8521860715
334	0.7068770417	0.366819114	0.8339770505	0.8523366496
335	0.7068520061	0.3666963628	0.8339530113	0.8523366496
336	0.7071613165	0.3665640251	0.8341333056	0.8525302501
337	0.7069956211	0.3664662676	0.8340131094	0.8524657166
338	0.7070284127	0.3663818848	0.834025129	0.8524979833
339	0.7070862441	0.3663097303	0.8340611879	0.8525302501
340	0.7072347336	0.3662122988	0.8341453252	0.8526270503
341	0.7077652891	0.3660703602	0.834485881	0.8529066953
342	0.7078073267	0.3659677264	0.834545979	0.8528744286
343	0.7078474091	0.3658497256	0.8345780313	0.8528851842
344	0.7077691881	0.3657542943	0.8345419725	0.8528206507
345	0.7077718215	0.3656780004	0.834537966	0.8528314063
346	0.7081082235	0.3656092067	0.8347703452	0.8529819844
347	0.7080832888	0.3654662739	0.834746306	0.8529819844
348	0.7080761262	0.3653616282	0.8347262733	0.8530034956
349	0.7081366287	0.3652477675	0.8347583256	0.8530465179
350	0.7082772616	0.3652024776	0.8348544825	0.8531110514
351	0.7084009914	0.3650112091	0.8349145806	0.8532078516
352	0.7083101901	0.364849588	0.8348665021	0.8531433181
353	0.7085238197	0.3647679134	0.835006731	0.8532508739
354	0.7086600714	0.3646263403	0.8350788487	0.8533476741
355	0.7085719169	0.3645809115	0.8350267637	0.8532938962
356	0.7083680489	0.3644866222	0.834902561	0.8531755848
357	0.7085496934	0.3644393483	0.8349987179	0.8533046518
358	0.7086119597	0.3643378452	0.835058816	0.8533046518
359	0.708672521	0.3642721278	0.8350908683	0.8533476741
360	0.7086752137	0.3641584884	0.8350868618	0.8533584297
361	0.7088434502	0.3640208045	0.8352030514	0.8534337187
362	0.7089689356	0.3639153587	0.8352911952	0.8534874966
363	0.708865627	0.3637859951	0.8352310972	0.8534229632
364	0.7089137681	0.363757874	0.8352511298	0.8534659855
365	0.7094417025	0.363595792	0.8355956922	0.853734875
366	0.709514754	0.3634839507	0.8356397641	0.8537778973
367	0.7096250401	0.3633782697	0.8357198949	0.8538209196
368	0.7096402017	0.3632743663	0.8357279079	0.8538316752
369	0.7096953382	0.3632535204	0.8357679733	0.8538531863
370	0.7097284246	0.3631519496	0.8357799929	0.8538854531
371	0.7098138929	0.3630505637	0.8358360845	0.8539284754
372	0.7099876063	0.362957383	0.835944261	0.8540252756
373	0.7100647339	0.3628616461	0.8360123722	0.8540360312
374	0.7104684196	0.3626769928	0.8362968364	0.8542081205
375	0.7106269358	0.3625327084	0.8363969999	0.8542941651
376	0.7104852668	0.3624281558	0.8362727972	0.8542726539
377	0.7105735533	0.3623409737	0.8363248822	0.8543264318
378	0.710569627	0.3622643992	0.836300843	0.8543586986
379	0.7108565077	0.3620929259	0.8364851438	0.8545092767
380	0.7110911579	0.3619560417	0.8366253726	0.8546490992
381	0.7110569419	0.3619303256	0.8365853072	0.8546598548
382	0.7113743772	0.3618176646	0.8367856342	0.8548319441
383	0.7114418286	0.3617077433	0.8368377192	0.8548534552
384	0.711408535	0.3616030561	0.8368256995	0.8548211885
385	0.7115491512	0.3615669955	0.8369218565	0.854885722
386	0.7118361413	0.3614056731	0.8371061572	0.8550363001
387	0.7118970236	0.3612708941	0.8371382096	0.8550793224
388	0.7119673288	0.3611579087	0.837186288	0.8551115891
389	0.71191876	0.3610943081	0.8371662553	0.8550685668
390	0.7119035403	0.3609825969	0.8371582423	0.8550578112
391	0.7121050156	0.360915834	0.8372864515	0.855165367
392	0.7121876136	0.3608235072	0.8373465496	0.8551976338
393	0.7121296336	0.3606884602	0.8373104907	0.855165367
394	0.712249129	0.360546706	0.8374066476	0.8551976338
395	0.7121999188	0.3604384485	0.8373585692	0.8551976338
396	0.7122549753	0.360429335	0.8373986346	0.8552191449
397	0.7122549753	0.3604273051	0.8373986346	0.8552191449
398	0.7123738669	0.3603326204	0.8374667457	0.855294434
399	0.7125384879	0.360244311	0.8375588961	0.8554019898
400	0.7126579302	0.3601105449	0.837655053	0.8554342565
401	0.712761636	0.3600078891	0.8377151511	0.85549879
402	0.7127129695	0.3599797741	0.8376951184	0.8554557677
403	0.7127675498	0.3598652702	0.837707138	0.8555203012
404	0.7130605873	0.3597664484	0.8378834258	0.8556923904
405	0.7129902904	0.3596478885	0.8378353473	0.8556601237
406	0.713030465	0.3595218099	0.8378954454	0.855627857
407	0.7129483179	0.3594204822	0.8378633931	0.8555525679
408	0.7128535089	0.359336762	0.8377912754	0.8555203012
409	0.7128623963	0.3592543841	0.8377792557	0.8555525679
410	0.7132044813	0.3591716861	0.8380036219	0.8557246572
411	0.7134607982	0.3590321152	0.8381438508	0.8558967464
412	0.7135280784	0.3588689257	0.8381959358	0.8559182576
413	0.7137633903	0.3587580247	0.8383642104	0.8560150578
414	0.7138336541	0.3586461112	0.8384122889	0.8560473245
415	0.7141146279	0.3585612482	0.8385765569	0.8562194138
416	0.7140810435	0.3584708155	0.8385645373	0.8561871471
417	0.7141665776	0.3583545606	0.8386206289	0.8562301694
418	0.7143437627	0.3582790125	0.8387247989	0.8563377252
419	0.7142215665	0.3581666235	0.8386606943	0.8562516806
420	0.7141452151	0.3580717911	0.8386206289	0.8561979027
421	0.7142062949	0.358015638	0.8386526812	0.856240925
422	0.7142460071	0.3579098932	0.8386847335	0.8562516806
423	0.7144934354	0.3578157319	0.838836982	0.8563915031
424	0.7146217337	0.3576667244	0.8389211193	0.8564560366
425	0.7145056449	0.3576054487	0.8388490016	0.8563915031
426	0.7146217337	0.3575705776	0.8389211193	0.8564560366
427	0.7147623733	0.3575298762	0.8389892304	0.8565635924
428	0.7147714878	0.3574472442	0.8390052566	0.8565528368
429	0.7149946524	0.3573837456	0.8391334658	0.8566926593
430	0.7150221386	0.3572660143	0.8391534985	0.8567034149
431	0.715046747	0.3571422138	0.839149492	0.8567464372
432	0.7150620454	0.3571123589	0.839157505	0.8567571928
433	0.7152972383	0.3569492367	0.8393257797	0.856853993
434	0.7153459523	0.3568313905	0.8393738581	0.856853993
435	0.7154534172	0.3567035002	0.8394019039	0.8569723044
436	0.7152119487	0.3566127848	0.8392416424	0.856853993
437	0.7152422719	0.3565627901	0.8392857143	0.8568324818
438	0.7153671785	0.3565055121	0.8394019039	0.8568432374
439	0.7156697106	0.3563967999	0.8395942178	0.8570045711
440	0.7159691182	0.356296933	0.8397905382	0.8571551492
441	0.7160483267	0.3561537958	0.8398546428	0.8571766604
442	0.7161064066	0.3560568215	0.8398907016	0.8572089271
443	0.7160266826	0.3559483359	0.8398546428	0.8571443937
444	0.7164396159	0.3558600178	0.8400990416	0.857391772
445	0.71652836	0.3558072757	0.8401511266	0.8574455499
446	0.7169964702	0.3556853124	0.8404355909	0.8577144394
447	0.7169843613	0.3556221171	0.8404235713	0.8577144394
448	0.7170521901	0.3555460561	0.8404476105	0.8577789728
449	0.7171434073	0.3554679596	0.8405237347	0.857800484
450	0.7171038555	0.3554127253	0.8404916824	0.8577897284
451	0.7171861963	0.3553399228	0.8405517805	0.8578219952
452	0.7173178142	0.3552096049	0.8406319113	0.8578972842
453	0.7173024669	0.3551681989	0.8406238982	0.8578865286
454	0.7173922349	0.3550695599	0.8406479374	0.8579833289
455	0.7176304413	0.3549327394	0.8408122055	0.8580908846
456	0.7177830088	0.3548445627	0.8409203821	0.8581554181
