iter	F1	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
278	0.7662368777	0.4119685603	0.8084513927	0.8323205163
279	0.7663421623	0.4118531879	0.8085395365	0.8324065609
280	0.7664708125	0.4116640816	0.8085916215	0.8323635386
281	0.7664329921	0.4115932006	0.8085755954	0.8323742942
282	0.7664474488	0.4114690281	0.8086276804	0.8324926055
283	0.7665304207	0.4114173088	0.8086797654	0.8325141167
284	0.7665077619	0.4113306167	0.8086677458	0.8325141167
285	0.7665379162	0.4112713483	0.8086877785	0.8325248723
286	0.766583229	0.4112374532	0.8087118177	0.8325248723
287	0.766854523	0.4111209091	0.8088921119	0.8326216725
288	0.7670125465	0.4110843782	0.8090123081	0.8327184727
289	0.7670050489	0.4110053089	0.809004295	0.8327077171
290	0.7670798952	0.4109121434	0.8090964454	0.8328475397
291	0.7670951659	0.4107740428	0.8090884323	0.8328045173
292	0.7670274022	0.4107270987	0.8090403539	0.8327722506
293	0.7670200443	0.4106439886	0.8090203212	0.8327292283
294	0.7673362881	0.4105427667	0.8092366743	0.8328582952
295	0.7671029353	0.4104517161	0.8090724062	0.8327507394
296	0.7671405602	0.4103833261	0.8091004519	0.8327722506
297	0.7675619683	0.4102314015	0.8094049489	0.8329873622
298	0.7676445869	0.4101697702	0.8094810731	0.8330734068
299	0.7677875172	0.41010445	0.8095852431	0.8331486959
300	0.7679305931	0.4100329324	0.8096653739	0.8331594515
301	0.7679007522	0.4098489673	0.8096092823	0.8330518957
302	0.7678780774	0.4097400112	0.8096092823	0.8330841624
303	0.7680808969	0.4096742224	0.8097895766	0.8332777628
304	0.7682086855	0.4096053502	0.8098897401	0.8333638075
305	0.7681785985	0.4095080823	0.8098697074	0.8333530519
306	0.7679829576	0.4093723936	0.8097455047	0.833299274
307	0.7681635205	0.4092842376	0.8098657008	0.8333638075
308	0.7681860374	0.4092428753	0.8098897401	0.8333960742
309	0.7682086855	0.4091650588	0.8098897401	0.8333638075
310	0.7684943684	0.4090149334	0.8100980801	0.8335143856
311	0.7685319501	0.4089129707	0.8101261258	0.8335358967
312	0.7685845873	0.4088629852	0.8101581781	0.8335466523
313	0.7686822311	0.4087689226	0.8102503285	0.8336542081
314	0.7685319945	0.4086509659	0.8101141062	0.83350363
315	0.7688100633	0.4085672121	0.8103144332	0.8336434525
316	0.7689077477	0.4085009026	0.8103825443	0.8336864749
317	0.7689377847	0.4084683337	0.8104145966	0.8337294972
318	0.7689678575	0.4083821247	0.8104226097	0.833707986
319	0.7688927515	0.4082914142	0.8103544985	0.833632697
