iter	Passed	Remaining
1022	29166	27854
1023	29186	27818
1024	29212	27787
1025	29242	27760
1026	29270	27731
1027	29303	27707
1028	29329	27676
1029	29356	27646
1030	29383	27616
1031	29416	27591
1032	29443	27562
1033	29507	27567
1034	29540	27542
1035	29571	27516
1036	29604	27492
1037	29635	27465
1038	29657	27430
1039	29690	27406
1040	29714	27373
1041	29743	27346
1042	29768	27313
1043	29796	27284
1044	29825	27256
1045	29837	27213
1046	29866	27185
1047	29899	27160
1048	29927	27132
1049	29960	27106
1050	29998	27087
1051	30026	27057
1052	30055	27030
1053	30079	26997
1054	30102	26964
1055	30131	26935
1056	30155	26903
1057	30193	26882
1058	30222	26854
1059	30256	26830
1060	30284	26802
1061	30311	26772
1062	30335	26739
1063	30360	26708
1064	30387	26678
1065	30417	26651
1066	30450	26626
1067	30477	26596
1068	30531	26590
1069	30569	26570
1070	30596	26539
1071	30623	26510
1072	30649	26478
1073	30673	26446
1074	30706	26422
1075	30734	26393
1076	30764	26365
1077	30792	26336
1078	30850	26332
1079	30882	26307
1080	30926	26291
1081	30966	26272
1082	31013	26260
1083	31045	26233
1084	31074	26205
1085	31105	26178
1086	31126	26144
1087	31155	26115
1088	31191	26093
1089	31220	26064
1090	31249	26036
1091	31272	26003
1092	31302	25975
1093	31332	25948
1094	31366	25923
1095	31395	25895
1096	31427	25869
1097	31463	25847
1098	31495	25820
1099	31553	25816
1100	31629	25826
1101	31674	25811
1102	31710	25788
1103	31741	25761
1104	31771	25733
1105	31802	25706
1106	31829	25676
1107	31857	25646
1108	31887	25619
1109	31919	25592
1110	31949	25565
1111	31974	25533
1112	32005	25506
1113	32037	25480
1114	32068	25453
1115	32107	25433
1116	32139	25406
1117	32167	25377
1118	32196	25348
1119	32225	25320
1120	32259	25295
1121	32296	25272
1122	32330	25248
1123	32372	25229
1124	32405	25204
1125	32435	25176
1126	32466	25149
1127	32497	25122
1128	32524	25091
1129	32549	25060
1130	32585	25036
1131	32826	25170
1132	32855	25142
1133	32879	25109
1134	32902	25075
1135	32929	25044
1136	32961	25018
1137	32990	24989
1138	33019	24960
1139	33045	24928
1140	33071	24898
1141	33102	24870
1142	33132	24842
1143	33169	24819
1144	33213	24801
1145	33257	24783
1146	33290	24757
1147	33329	24735
1148	33357	24706
1149	33386	24677
1150	33417	24649
1151	33443	24618
1152	33473	24589
1153	33502	24560
1154	33532	24532
1155	33551	24496
1156	33584	24470
1157	33617	24443
1158	33650	24417
1159	33681	24390
1160	33712	24362
1161	33745	24335
1162	33782	24313
1163	33842	24305
1164	33881	24284
1165	33914	24257
1166	33947	24231
1167	33972	24199
1168	34005	24172
1169	34044	24151
1170	34078	24125
1171	34112	24099
1172	34143	24072
1173	34172	24043
1174	34200	24013
1175	34236	23988
1176	34261	23956
1177	34290	23927
1178	34322	23900
1179	34347	23868
1180	34374	23837
1181	34396	23803
1182	34425	23774
1183	34450	23743
1184	34480	23714
1185	34512	23687
1186	34538	23655
1187	34567	23626
1188	34599	23599
1189	34629	23571
1190	34656	23541
1191	34692	23516
1192	34721	23486
1193	34749	23457
1194	34784	23432
1195	34819	23406
1196	34863	23387
1197	34925	23380
1198	34961	23356
1199	34990	23327
1200	35021	23299
1201	35050	23269
1202	35081	23241
1203	35109	23212
1204	35140	23183
1205	35166	23152
1206	35196	23123
1207	35234	23100
1208	35265	23073
1209	35295	23044
1210	35322	23013
1211	35352	22984
1212	35385	22958
1213	35420	22932
1214	35450	22904
1215	35475	22872
1216	35506	22844
1217	35535	22814
1218	35560	22783
1219	35600	22761
1220	35625	22729
1221	35651	22697
1222	35680	22668
1223	35716	22643
1224	35748	22616
1225	35780	22588
1226	35810	22560
1227	35847	22535
1228	35872	22504
1229	35917	22485
1230	35970	22470
1231	35996	22439
1232	36023	22408
1233	36051	22378
1234	36083	22351
1235	36112	22321
1236	36141	22292
1237	36171	22263
1238	36203	22236
1239	36243	22213
1240	36273	22184
1241	36299	22153
1242	36326	22122
1243	36356	22094
1244	36382	22063
1245	36416	22036
1246	36451	22010
1247	36488	21986
1248	36517	21957
1249	36557	21934
1250	36590	21907
1251	36621	21879
1252	36649	21849
1253	36688	21825
1254	36718	21796
1255	36743	21765
1256	36767	21733
1257	36795	21703
1258	36826	21674
1259	36850	21642
1260	36883	21615
1261	36914	21586
1262	36955	21564
1263	37015	21553
1264	37052	21528
1265	37084	21500
1266	37116	21472
1267	37149	21446
1268	37184	21419
1269	37209	21387
1270	37236	21357
1271	37254	21321
1272	37272	21285
1273	37298	21254
1274	37331	21227
1275	37359	21197
1276	37388	21168
1277	37419	21139
1278	37450	21111
1279	37489	21088
1280	37514	21056
1281	37554	21032
1282	37586	21005
1283	37622	20979
1284	37657	20953
1285	37691	20926
1286	37733	20904
1287	37771	20879
1288	37800	20850
1289	37832	20822
1290	37862	20793
1291	37893	20765
1292	37936	20743
1293	37972	20717
1294	38053	20716
1295	38101	20697
1296	38126	20665
1297	38153	20634
1298	38187	20607
1299	38221	20580
1300	38245	20548
1301	38277	20520
1302	38311	20493
1303	38352	20470
1304	38399	20450
1305	38444	20429
1306	38481	20403
1307	38525	20382
1308	38563	20357
1309	38600	20331
1310	38632	20303
1311	38665	20275
1312	38701	20249
1313	38747	20228
1314	38801	20212
1315	38845	20190
1316	38883	20165
1317	38919	20138
1318	38953	20111
1319	38984	20083
1320	39010	20051
1321	39036	20020
1322	39107	20011
1323	39145	19986
1324	39180	19960
1325	39230	19940
1326	39278	19920
1327	39326	19900
1328	39362	19873
1329	39402	19849
1330	39434	19821
1331	39465	19792
1332	39498	19764
1333	39536	19738
1334	39575	19713
1335	39604	19683
1336	39641	19657
1337	39679	19632
1338	39726	19611
1339	39774	19590
1340	39827	19572
1341	39867	19547
1342	39899	19518
1343	39922	19486
1344	39950	19455
1345	39978	19424
1346	40012	19397
1347	40042	19367
1348	40068	19336
1349	40092	19303
1350	40162	19293
1351	40190	19262
1352	40220	19233
1353	40255	19205
1354	40289	19178
1355	40322	19150
1356	40352	19120
1357	40374	19087
1358	40410	19060
1359	40442	19031
1360	40476	19003
1361	40508	18975
1362	40544	18948
1363	40576	18919
1364	40608	18891
1365	40640	18862
1366	40669	18832
1367	40700	18803
1368	40740	18778
1369	40774	18750
1370	40807	18721
1371	40840	18693
1372	40872	18664
1373	40898	18633
1374	40933	18605
1375	40969	18579
1376	40998	18548
1377	41030	18520
1378	41065	18493
1379	41094	18462
1380	41124	18433
1381	41195	18421
1382	41223	18391
1383	41252	18360
1384	41286	18332
1385	41314	18302
1386	41344	18272
1387	41369	18240
1388	41393	18208
1389	41422	18178
1390	41451	18147
1391	41477	18116
1392	41503	18085
1393	41536	18056
1394	41573	18030
1395	41597	17997
1396	41619	17964
1397	41654	17937
1398	41693	17911
1399	41722	17881
1400	41747	17849
1401	41782	17821
1402	41819	17794
1403	41859	17769
1404	41902	17745
1405	41938	17717
1406	41972	17689
1407	42005	17661
1408	42031	17629
1409	42067	17602
1410	42104	17575
1411	42139	17548
1412	42167	17517
1413	42228	17500
1414	42273	17477
1415	42300	17446
1416	42326	17414
1417	42360	17386
1418	42389	17355
1419	42415	17324
1420	42444	17294
1421	42471	17263
1422	42503	17234
1423	42530	17203
1424	42560	17173
1425	42585	17141
1426	42618	17113
1427	42648	17083
1428	42678	17053
1429	42712	17025
1430	42741	16995
1431	42769	16964
1432	42797	16933
1433	42825	16903
1434	42854	16873
1435	42899	16849
1436	42942	16824
1437	42979	16797
1438	43013	16769
1439	43047	16740
1440	43082	16712
1441	43119	16685
1442	43148	16655
1443	43179	16625
1444	43207	16595
1445	43225	16560
1446	43278	16539
1447	43359	16529
1448	43408	16506
1449	43444	16479
1450	43474	16449
1451	43504	16418
1452	43532	16388
1453	43572	16362
1454	43599	16331
1455	43635	16303
1456	43661	16272
1457	43692	16242
1458	43723	16212
1459	43762	16185
1460	43791	16155
1461	43828	16128
1462	43860	16099
1463	43890	16069
1464	43925	16041
1465	43949	16008
1466	43980	15979
1467	44009	15949
1468	44043	15920
